"Symbol","Name","IPO date","Market cap","Merger pending?","Leverage factor","Momentum factor 10","Momentum factor 200","P/B","Shares outstanding","Average trading volume","% traded","Action"
"AACQ","Artius Acquisition Inc. - Class A","09/04/2020","$746,235,000","N","0.00","1.02","1.06","0.00","72,450,000","521,558","0.72%","Analyze"
"ACAC","Acies Acquisition Corp. - Class A","12/11/2020","$0","N","1.00","0.00","0.00","0.00","0","0","0.00%","Analyze"
"ACAM","Acamar Partners Acquisition Corp. - Class A","04/15/2019","$315,351,563","Y","1.04","1.00","1.02","1.05","30,557,322","416,900","1.36%","Analyze"
"ACEV","ACE Convergence Acquisition Corp. - Class A","09/17/2020","$232,300,000","N","0.00","1.02","1.03","0.00","23,000,000","53,135","0.23%","Analyze"
"ACND","Ascendant Digital Acquisition Corp. Class A","09/14/2020","$414,414,000","N","0.00","1.01","1.01","0.00","41,400,000","65,521","0.16%","Analyze"
"ACTC","ArcLight Clean Transition Corp. - Class A","11/23/2020","$280,275,000","N","0.00","1.01","1.01","0.00","27,750,000","205,408","0.74%","Analyze"
"ADOC","Edoc Acquisition Corp. - Class A","12/10/2020","$89,820,000","N","1.00","0.00","0.00","0.00","9,000,000","0","0.00%","Analyze"
"AGBA","AGBA Acquisition Limited","07/15/2019","$62,137,013","N","1.05","1.01","1.03","1.37","5,975,000","24,808","0.42%","Analyze"
"AGC","Altimeter Growth Corp. - Class A","12/01/2020","$632,500,000","N","0.00","1.17","1.17","0.00","50,000,000","15,588","0.03%","Analyze"
"AHAC","Alpha Healthcare Acquisition Corp.","11/09/2020","$102,100,300","N","0.00","1.01","1.01","0.00","10,355,000","16,624","0.16%","Analyze"
"ALAC","Alberton Acquisition Corporation","11/21/2018","$50,653,518","Y","1.94","1.00","1.03","6.52","4,616,238","47,342","1.03%","Analyze"
"ALUS","Alussa Energy Acquisition Corp. Class A","07/12/2007","$287,500,000","N","1.04","1.11","1.02","1.02","28,750,000","71,988","0.25%","Analyze"
"AMCI","AMCI Acquisition Corp. - Class A","11/04/2014","$126,584,070","Y","1.07","1.09","1.34","0.88","9,061,136","1,789,489","19.75%","Analyze"
"AMHC","Amplitude Healthcare Acquisition Corporation - Class A","01/10/2020","$100,000,000","N","1.04","1.12","1.03","1.02","10,000,000","30,057","0.30%","Analyze"
"ANDA","Andina Acquisition Corp. III","12/08/2015","$46,338,484","N","1.01","1.01","1.03","0.70","4,417,396","5,885","0.13%","Analyze"
"AONE","one Class A","10/08/2020","$278,693,760","N","0.00","1.01","1.02","0.00","0","24,691","0.00%","Analyze"
